condition,textstim,textdur,sound,recoverydur,stopsound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_9.started,text_9.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,sound_3.started,sound_3.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,Baseline_text.started,Baseline_text.stopped,text_10.started,text_10.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,6.106801899964921,None,space,12.09391370008234,6.106801899964921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,0,0,0,0,,,,,,,18.231276700040326,20.231180000002496,21.214522540010513,None,21.214158899965696,22.21448019996751,22.21448019996751,23.214267099974677,23.214267099974677,24.214287400012836,24.34770349995233,26.347572900005616,26.33071230002679,None,46.337900599930435,47.346219899947755,0.015293179778382182,None,46.337900599930435,None,56.34602179995272,57.34607670002151,56.346026139939205,None,56.34602179995272,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,71.34510100004263,72.34510969999246,0.012010439881123602,None,71.34510100004263,None,81.34479340002872,82.3445813000435,81.34487973994109,None,81.34479340002872,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,96.34382289997302,97.34374030004255,0.012722240062430501,None,96.34382289997302,None,106.34343010000885,107.34338999993633,106.34342224001884,None,106.34343010000885,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,121.34264299995266,122.3426341000013,0.012243540026247501,None,121.34264299995266,None,131.34246580000035,132.34223399998154,131.3421105399262,None,131.34246580000035,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,146.35824790003244,147.3579377999995,0.01384083996526897,None,146.35824790003244,None,156.35782979999203,157.35781309998129,156.35755243992898,None,156.35782979999203,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,5,0,5,0,,,,,,,,,,,,,,,,,,,,,171.35707649996039,172.35694129997864,0.012441840022802353,None,171.35707649996039,None,181.35634599998593,182.35648509999737,181.35658544001635,None,181.35634599998593,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,6,0,6,0,,,,,,,,,,,,,,,,,,,,,196.35574899998028,197.35553249996156,0.012138939928263426,None,196.35574899998028,None,206.35528429993428,207.3553254000144,206.35533274002373,None,206.35528429993428,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,7,0,7,0,,,,,,,,,,,,,,,,,,,,,221.35438549995888,222.3544856000226,0.01268053986132145,None,221.35438549995888,None,231.3541490000207,232.35410440003034,231.35388503994326,None,231.3541490000207,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,8,0,8,0,,,,,,,,,,,,,,,,,,,,,246.35350279998966,247.35307149996515,0.01237844000570476,None,246.35350279998966,None,256.3526950000087,257.35270149994176,256.3526675399859,None,256.3526950000087,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,9,0,9,0,,,,,,,,,,,,,,,,,,,,,271.35188840003684,272.3519722999772,0.012813339941203594,None,271.35188840003684,None,281.35165730002336,282.35166349995416,281.35141253997574,None,281.35165730002336,None,XXX,2022_Jun_14_1415,Fingertapping,2021.2.0,59.59269584899775,
