condition,textstim,textdur,sound,recoverydur,stopsound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_9.started,text_9.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,sound_3.started,sound_3.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,Baseline_text.started,Baseline_text.stopped,text_10.started,text_10.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.530432100000326,None,space,7.4300185999891255,7.530432100000326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,0,0,0,0,,,,,,,14.97966300000553,16.97936210001353,17.96261176999542,None,17.962383200007025,18.962735200009774,18.962735200009774,19.962757000001147,19.962757000001147,20.96248600000399,21.09601660000044,23.095815200009383,23.079092800006038,None,43.102584200009005,44.11115030001383,0.01544103998458013,None,43.102584200009005,None,53.111241000005975,54.11129600001732,53.11093157000141,None,53.111241000005975,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,68.12690229999134,69.12704700001632,0.013638570002513006,None,68.12690229999134,None,78.12646090000635,79.12656540001626,78.1267687700165,None,78.12646090000635,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,93.12595400001737,94.12602240001434,0.012006270000711083,None,93.12595400001737,None,103.1256199000054,104.12510360000306,103.12504216999514,None,103.1256199000054,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,118.12470600000233,119.1243563000171,0.01230316999135539,None,118.12470600000233,None,128.12415489999694,129.12396860000445,128.12417207000544,None,128.12415489999694,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,143.1236135000072,144.12324420001823,0.012819169991416857,None,143.1236135000072,None,153.12302910001017,154.12276090000523,153.12303387001157,None,153.12302910001017,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,5,0,5,0,,,,,,,,,,,,,,,,,,,,,168.12264210000285,169.12224319999223,0.012381369975628331,None,168.12264210000285,None,178.12147430001642,179.12184320000233,178.12190207000822,None,178.12147430001642,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,6,0,6,0,,,,,,,,,,,,,,,,,,,,,193.12099429999944,194.12144049999188,0.012037670006975532,None,193.12099429999944,None,203.1204340000113,204.12041160001536,203.12063707000925,None,203.1204340000113,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,7,0,7,0,,,,,,,,,,,,,,,,,,,,,218.11990320001496,219.12005009999848,0.012549470004159957,None,218.11990320001496,None,228.1194175000128,229.1189602999948,228.11945317001664,None,228.1194175000128,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,8,0,8,0,,,,,,,,,,,,,,,,,,,,,243.1187789000105,244.1183607999992,0.012878669978817925,None,243.1187789000105,None,253.11814880001475,254.1181854000024,253.11806977001834,None,253.11814880001475,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,9,0,9,0,,,,,,,,,,,,,,,,,,,,,268.1172147000034,269.117507100018,0.012527370010502636,None,268.1172147000034,None,278.1169915999926,279.11661660001846,278.1174145700061,None,278.1169915999926,None,XXX,2022_Jun_23_0923,Fingertapping,2021.2.0,59.86410848088364,
