condition,textstim,textdur,sound,recoverydur,stopsound,marker,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_9.started,text_9.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,sound_3.started,sound_3.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,Baseline_text.started,Baseline_text.stopped,text_10.started,text_10.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,sound_2.started,sound_2.stopped,text_3.started,text_3.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.042379999998957,None,space,7.7196024999866495,7.042379999998957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,0,0,0,0,,,,,,,14.791601300006732,16.791724400012754,17.775188600010004,None,17.77490360000229,18.77481890001218,18.77481890001218,19.775032800011104,19.775032800011104,20.774705500007258,20.924944600003073,22.924809600008302,22.907978200004436,None,42.92170510000142,43.92372960000648,0.008714099996723235,None,42.92170510000142,None,52.92311350000091,53.92309650000243,52.92287120000983,None,52.92311350000091,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,67.92253580001125,68.9224094000092,0.012225999991642311,None,67.92253580001125,None,77.92204260001017,78.92166170000564,77.92186660000007,None,77.92204260001017,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,92.92129140000907,93.92125680000754,0.012296100001549348,None,92.92129140000907,None,102.92092390000471,103.92085920000682,102.9206407000078,None,102.92092390000471,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,117.92052010000043,118.92069640000409,0.01217950000136625,None,117.92052010000043,None,127.91980970000441,128.91967510001268,127.91971800001048,None,127.91980970000441,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,4,0,4,0,,,,,,,,,,,,,,,,,,,,,142.9192555000045,143.91881719999947,0.01223879998724442,None,142.9192555000045,None,152.91853550000815,153.91833770000085,152.9185843000072,None,152.91853550000815,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,5,0,5,0,,,,,,,,,,,,,,,,,,,,,167.917809999999,168.91756300000998,0.012213799986056983,None,167.917809999999,None,177.9173310000042,178.91724780001095,177.91728559999902,None,177.9173310000042,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,6,0,6,0,,,,,,,,,,,,,,,,,,,,,192.91675690001284,193.9163348000002,0.012160800004494376,None,192.91675690001284,None,202.91616580000846,203.91584830000647,202.91611570001115,None,202.91616580000846,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,7,0,7,0,,,,,,,,,,,,,,,,,,,,,217.91539660000126,218.91536980000092,0.012074400001438335,None,217.91539660000126,None,227.9149335000111,228.91506490000756,227.91496559999942,None,227.9149335000111,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,8,0,8,0,,,,,,,,,,,,,,,,,,,,,242.91418659999908,243.91374810000707,0.01270710000244435,None,242.91418659999908,None,252.91376790001232,253.91321470000548,252.91359640000738,None,252.91376790001232,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
right,right,1,Audio\\right.wav,1,Audio\\Stop.wav,1,9,0,9,0,,,,,,,,,,,,,,,,,,,,,267.9129512000072,268.912879800002,0.012245099991559982,None,267.9129512000072,None,277.91246410000895,278.9125473000022,277.9125969000073,None,277.91246410000895,None,XXX,2022_Jun_15_1445,Fingertapping,2021.2.0,59.846625068385585,
