Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_3.started,text_3.stopped,Checkerboard.started,Checkerboard.stopped,Checkerboard2.started,Checkerboard2.stopped,participant,date,expName,psychopyVersion,frameRate,
2,0,2,0,8,0,8,0,,,,,,,,,,,90.9483264000155,91.54805109999143,91.5314446000848,90.9483264000155,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
2,0,2,0,9,0,9,0,,,,,,,,,,,92.13135030004196,92.73135150014423,92.7146883001551,92.13135030004196,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
2,0,2,0,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,0,0,0,0,,,,,,,93.31459630001336,None,108.31399750011042,None,108.81414699996822,109.41418970003724,109.39754320005886,None,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,1,0,1,0,,,,,,,,,,,109.99710309994407,110.59715469996445,110.58071470004506,109.99710309994407,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,2,0,2,0,,,,,,,,,,,111.18039859994315,111.78098080004565,111.76402340014465,111.18039859994315,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,3,0,3,0,,,,,,,,,,,112.36390260001644,112.96423969999887,112.94761750008911,112.36390260001644,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,4,0,4,0,,,,,,,,,,,113.54719940014184,114.14732050010934,114.13033540011384,113.54719940014184,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,5,0,5,0,,,,,,,,,,,114.73026810004376,115.33027520007454,115.3137251001317,114.73026810004376,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,6,0,6,0,,,,,,,,,,,115.91354910004884,116.51360599999316,116.49692000006326,115.91354910004884,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,7,0,7,0,,,,,,,,,,,117.09676999994554,117.69703979999758,117.68047170015052,117.09676999994554,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,8,0,8,0,,,,,,,,,,,118.28064740006812,118.87997819995508,118.86354069993831,118.28064740006812,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,9,0,9,0,,,,,,,,,,,119.46334290015511,120.06322530005127,120.04703430016525,119.46334290015511,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
3,0,3,0,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,0,0,0,0,,,,,,,120.64665940008126,None,135.6460204999894,None,136.14606770011596,136.74644320015796,136.7294199001044,None,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,1,0,1,0,,,,,,,,,,,137.32921420014463,137.92954859999008,137.91245419997722,137.32921420014463,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,2,0,2,0,,,,,,,,,,,138.5124864000827,139.1123848001007,139.09614829998463,138.5124864000827,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,3,0,3,0,,,,,,,,,,,139.69594510016032,140.29589510010555,140.27905440004542,139.69594510016032,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,4,0,4,0,,,,,,,,,,,140.87907210015692,141.47922330000438,141.4627388000954,140.87907210015692,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,5,0,5,0,,,,,,,,,,,142.06224850006402,142.6624350999482,142.64590060012415,142.06224850006402,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,6,0,6,0,,,,,,,,,,,143.24589890008792,143.84550269995816,143.8289898999501,143.24589890008792,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,7,0,7,0,,,,,,,,,,,144.42896679998375,145.03013440012,145.01224000006914,144.42896679998375,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,8,0,8,0,,,,,,,,,,,145.61213250015862,146.21207759995013,146.19544750009663,145.61213250015862,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
