Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_3.started,text_3.stopped,sound_1.started,sound_1.stopped,Checkerboard.started,Checkerboard.stopped,Checkerboard2.started,Checkerboard2.stopped,participant,date,expName,psychopyVersion,frameRate,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,0,0,0,0,,,,,,,63.74088940001093,None,78.74022390000755,None,79.24040392000461,None,79.82355270002154,80.4234561000194,80.40688160000718,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,81.00685850001173,81.60685050001484,81.59006320001208,81.00685850001173,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,82.19023590002325,82.79021350000403,82.77341740002157,82.19023590002325,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,83.37337460002163,83.97334490000503,83.95652320000227,83.37337460002163,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,84.55662230000598,85.15703220001888,85.13986890000524,84.55662230000598,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,85.74008680001134,86.33973639999749,86.32326370000374,85.74008680001134,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,86.92310840002028,87.52316229999997,87.50703520001844,86.92310840002028,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,7,0,7,0,,,,,,,,,,,,,88.10638460001792,88.70648880000226,88.68966200001887,88.10638460001792,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,8,0,8,0,,,,,,,,,,,,,89.28962320002029,89.88956920002238,89.87346180001623,89.28962320002029,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,9,0,9,0,,,,,,,,,,,,,90.47310480001033,91.07317210000474,91.05671000000439,90.47310480001033,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,0,0,0,0,,,,,,,91.65632979999646,None,106.65557130001253,None,107.15555752001819,None,107.75583270000061,108.35534860001644,108.33904200000688,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,108.9389525000006,109.538592900004,109.52228570001898,108.9389525000006,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,110.12217410001904,110.7222234000219,110.70572970001376,110.12217410001904,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,111.30530790000921,111.90512999999919,111.8885847000056,111.30530790000921,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,112.48849459999474,113.0885821999982,113.07199460000265,112.48849459999474,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,113.67199960001744,114.27213290001964,114.25501910000457,113.67199960001744,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,114.8550094999955,115.45547790001729,115.4383944000001,114.8550094999955,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,7,0,7,0,,,,,,,,,,,,,116.03836760000559,116.63873440001043,116.62204420001945,116.03836760000559,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,8,0,8,0,,,,,,,,,,,,,117.22149290001835,117.82151750000776,117.80524549999973,117.22149290001835,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,9,0,9,0,,,,,,,,,,,,,118.40499870001804,119.00500160001684,118.98811679999926,118.40499870001804,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,0,0,0,0,,,,,,,119.58836130000418,None,134.58755749999546,None,135.08789491999778,None,135.67087640002137,136.27102690000902,136.25427639999543,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,136.85410720002255,137.45388420001836,137.43737290002173,136.85410720002255,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,138.03753660002258,138.6373935000156,138.6204418000125,138.03753660002258,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,139.22042640001746,139.82066029999987,139.80364399999962,139.22042640001746,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,140.40398210001877,141.00369969999883,140.987483600009,140.40398210001877,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,141.58739610001794,142.1873351999966,142.17052000001422,141.58739610001794,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,142.77028349999455,143.37091009999858,143.35403190000216,142.77028349999455,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,7,0,7,0,,,,,,,,,,,,,143.95372270001099,144.55370030002086,144.53687820001505,143.95372270001099,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,8,0,8,0,,,,,,,,,,,,,145.137091600016,145.7371980000171,145.7203541000199,145.137091600016,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,9,0,9,0,,,,,,,,,,,,,146.32015870002215,146.9201612000179,146.90348300000187,146.32015870002215,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,0,0,0,0,,,,,,,147.50357440000516,None,162.5029019000067,None,163.00298672000645,None,163.58619760000147,164.18635990002076,164.16951760000666,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,164.7692234000133,165.36933680000948,165.35276930002146,164.7692234000133,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,165.95263149999664,166.552760999999,166.53628890000982,165.95263149999664,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,167.1357549999957,167.73592550001922,167.71926969999913,167.1357549999957,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,168.31922649999615,168.91927060001763,168.90275619999738,168.31922649999615,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,169.5023397000041,170.10240500001237,170.0857942000148,169.5023397000041,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,170.6857748000184,171.28559340001084,171.26930680000805,170.6857748000184,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,7,0,7,0,,,,,,,,,,,,,171.86919359999592,172.4688750000205,172.4524020999961,171.86919359999592,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,8,0,8,0,,,,,,,,,,,,,173.0522345000063,173.65244269999675,173.63561300002038,173.0522345000063,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,9,0,9,0,,,,,,,,,,,,,174.23585720002302,174.8357307999977,174.81864850001875,174.23585720002302,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,0,0,0,0,,,,,,,175.41883710000548,None,190.41821730000083,None,190.91800552001223,None,191.51790249999613,192.1179955000116,192.1014189000125,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,192.70111510000424,193.30097460001707,193.28450360000716,192.70111510000424,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,2,0,2,0,,,,,,,,,,,,,193.8846937000053,194.48478190001333,194.46784520000801,193.8846937000053,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,3,0,3,0,,,,,,,,,,,,,195.0677907000063,195.6677980000095,195.65092060001916,195.0677907000063,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,4,0,4,0,,,,,,,,,,,,,196.25104950001696,196.85138330000336,196.8343470999971,196.25104950001696,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,5,0,5,0,,,,,,,,,,,,,197.43436559999827,198.0342494000215,198.01751350000268,197.43436559999827,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,6,0,6,0,,,,,,,,,,,,,198.61781419999897,199.21762080001645,199.20107500001905,198.61781419999897,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,7,0,7,0,,,,,,,,,,,,,199.80082050000783,200.4007688999991,200.38435830001254,199.80082050000783,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,8,0,8,0,,,,,,,,,,,,,200.98433450001176,201.58434280002257,201.56760989999748,200.98433450001176,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,9,0,9,0,,,,,,,,,,,,,202.1674151000043,202.76744369999506,202.7506343999994,202.1674151000043,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,0,0,0,0,,,,,,,203.3506497000053,None,218.3499235000054,None,218.8500470200088,None,219.4501680000103,220.0502159000025,220.03319489999558,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,1,0,1,0,,,,,,,,,,,,,220.63297180001973,221.2332666000002,221.21646809999947,220.63297180001973,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,2,0,2,0,,,,,,,,,,,,,221.81653440001537,222.4164174000034,222.40020309999818,221.81653440001537,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,3,0,3,0,,,,,,,,,,,,,222.99957680000807,223.59983310001553,223.58330570001272,222.99957680000807,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,4,0,4,0,,,,,,,,,,,,,224.18286150001222,224.78317999999854,224.76683770000818,224.18286150001222,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,5,0,5,0,,,,,,,,,,,,,225.36621490001562,225.96624330000486,225.94937770001707,225.36621490001562,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,6,0,6,0,,,,,,,,,,,,,226.54947610001545,227.14991850001388,227.1328252000094,226.54947610001545,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,7,0,7,0,,,,,,,,,,,,,227.73298520001117,228.33298120001564,228.31599510001251,227.73298520001117,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,8,0,8,0,,,,,,,,,,,,,228.91609519999474,229.51653360002092,229.4995237000112,228.91609519999474,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,9,0,9,0,,,,,,,,,,,,,230.09924989999854,230.69938990002265,230.68302500000573,230.09924989999854,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,0,0,0,0,,,,,,,231.28247330000158,None,246.28205860001617,None,246.7820371199923,None,247.38207010002225,247.98197730001993,247.96555000002263,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,1,0,1,0,,,,,,,,,,,,,248.5653592000017,249.16513500001747,249.14837420001277,248.5653592000017,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,2,0,2,0,,,,,,,,,,,,,249.7482755999954,250.34829819999868,250.33210790000157,249.7482755999954,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,3,0,3,0,,,,,,,,,,,,,250.93169409999973,251.5318751000159,251.51508460001787,250.93169409999973,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,4,0,4,0,,,,,,,,,,,,,252.11485720000928,252.7153646000079,252.69835690001491,252.11485720000928,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,5,0,5,0,,,,,,,,,,,,,253.29819960001623,253.89827960002003,253.88145169999916,253.29819960001623,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,6,0,6,0,,,,,,,,,,,,,254.48135820002062,255.08151849999558,255.06543640000746,254.48135820002062,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,7,0,7,0,,,,,,,,,,,,,255.66476990000228,256.26464690000284,256.2483814000152,255.66476990000228,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,8,0,8,0,,,,,,,,,,,,,256.8481141999946,257.4480693000078,257.43146530000377,256.8481141999946,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,9,0,9,0,,,,,,,,,,,,,258.0311788000108,258.6312430000107,258.61463369999547,258.0311788000108,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,0,0,0,0,,,,,,,259.2147198000166,None,274.2139848000079,None,274.7139709200128,None,275.29725130001316,275.8973715000029,275.88056220000726,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,1,0,1,0,,,,,,,,,,,,,276.4805433000147,277.0801429999992,277.06386460000067,276.4805433000147,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,2,0,2,0,,,,,,,,,,,,,277.66362980002305,278.26359899999807,278.24695339999744,277.66362980002305,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,3,0,3,0,,,,,,,,,,,,,278.8471935999987,279.4470488000079,279.43070860000444,278.8471935999987,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,4,0,4,0,,,,,,,,,,,,,280.03046670000185,280.6306283000158,280.6136191000114,280.03046670000185,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,5,0,5,0,,,,,,,,,,,,,281.213482799998,281.8135020000045,281.79697029999807,281.213482799998,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,6,0,6,0,,,,,,,,,,,,,282.39713570001186,282.99728510002024,282.9804713000194,282.39713570001186,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,7,0,7,0,,,,,,,,,,,,,283.5799817000225,284.17975800001295,284.1635343999951,283.5799817000225,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,8,0,8,0,,,,,,,,,,,,,284.7632625999977,285.36354190000566,285.3469745000184,284.7632625999977,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,9,0,9,0,,,,,,,,,,,,,285.94682050001575,286.5468944000022,286.53015960002085,285.94682050001575,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
