Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_3.started,text_3.stopped,sound_1.started,sound_1.stopped,Checkerboard.started,Checkerboard.stopped,Checkerboard2.started,Checkerboard2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,5.970780900010141,None,space,1.8780563999898732,5.970780900010141,None,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,0,0,0,0,,,,,,,7.877617799997097,None,22.89347660000203,None,23.39336362000904,None,23.993244600016624,24.593126000021584,24.576779199996963,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,25.176569700008258,25.776175300008617,25.75957940000808,25.176569700008258,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,26.359610000014072,26.959454800002277,26.942989200004376,26.359610000014072,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,27.542952700023307,28.14296500000637,28.126212800008943,27.542952700023307,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,28.726037000014912,29.326658300007693,29.309538900008192,28.726037000014912,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,29.909726500016404,30.509228500013705,30.492975200002547,29.909726500016404,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,31.092616900015855,31.69270270000561,31.676259800005937,31.092616900015855,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,32.276225400011754,32.87622310000006,32.85901820001891,32.276225400011754,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,33.45907209999859,34.05954930000007,34.042801100004,33.45907209999859,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,34.64245770001435,35.242567200009944,35.22609000001103,34.64245770001435,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,0,0,0,0,,,,,,,35.82589030000963,None,50.82494510000106,None,51.32520422001835,None,51.90857430000324,52.50818450000952,52.4916610000073,None,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,53.09146460000193,53.69150630000513,53.67493619999732,53.09146460000193,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,54.274769600015134,54.874728299997514,54.85806140000932,54.274769600015134,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,55.457957300008275,56.05801310000243,56.04152540001087,55.457957300008275,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,56.64143190000323,57.24159240000881,57.224824600009015,56.64143190000323,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,57.8245595000044,58.42446650000056,58.40779960001237,57.8245595000044,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,59.007715600018855,59.60822100000223,59.591068400011864,59.007715600018855,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,7,0,7,0,,,,,,,,,,,,,60.190956600010395,60.79103789999499,60.77451650000876,60.190956600010395,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,8,0,8,0,,,,,,,,,,,,,61.374534800008405,61.974849999998696,61.958033600007184,61.374534800008405,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
1,0,1,0,9,0,9,0,,,,,,,,,,,,,62.55759380001109,63.15750230001868,63.14101610000944,62.55759380001109,XXX,2022_Mar_11_1013,Checkerboard,2021.2.0,59.807217416520416,
